song_id,title,artist,album,year_released,duration,tempo,loudness
3,100%,Cocoa Tea,Kingston Hot,1992,228.96,115.86,-11.63
4,3,Britney Spears,3,2009,465.48,132.00,-6.28
6,40,U2,Live From Paris,1992,406.86,146.83,-8.54
7,124,Photek,Modus Operandi,1997,421.20,161.77,-10.61
8,1492,Scarlet's Remains,Scarlet's Remains,2005,215.90,170.70,-8.04
9,1969,Iggy And The Stooges,Telluric Chaos,1969,220.79,231.09,-8.94
16,?o???? DJ,Intars Busulis,Kino,1920,229.12,160.28,-4.95
18,...and Heavens Cried Blood,Swallow The Sun,New Moon,2009,377.76,71.76,-6.32
20,(Bloody Paw On The) Kill Floor,Busdriver,RoadKillOvercoat,2007,192.18,155.04,-6.26
21,(Coffee's For Closers),Fall Out Boy,Folie A  Deux,2008,275.38,155.04,-3.21
23,(Do)Minion,Eluveitie,Everything Remains (As It Never Was),2010,307.70,110.02,-4.37
26,(Everybody's Waiting For) The Man With the Bag,Mannheim Steamroller,Christmasville,2008,149.89,154.70,-6.89
27,(I Heard That) Lonesome Whistle,Bobby Darin,The Capitol Years,1995,163.53,90.18,-13.88
28,(I Used To Couldn't Dance) Tight Pants,Eagles Of Death Metal,Heart On,2008,215.64,237.83,-4.46
30,(I'm So) Afraid Of Losing You Again,Charley Pride,Super Hits,1970,188.03,98.82,-12.17
31,(Prayer Is The Key To Heaven) Faith Unlocks The Door,Don Gibson,I Can't Stop Loving You,1959,151.09,81.83,-15.85
33,(The Best Part Of) Breakin' Up,The Ronettes,Phil Spector's Wall Of Sound Retrospective Phillies Sound 1961-1996,1964,182.83,106.67,-6.17
34,(The Grave Prelude),Mobb Deep,The Infamous,1995,50.15,93.79,-13.66
35,(This Is Not A) Love Song (Live),Public Image Ltd,Live In Tokyo,1983,388.28,132.51,-16.43
36,(Wake Up) Time to Die,Lizzy Borden,The Murderess Metal Road Show,1985,371.20,107.89,-9.66
37,(We Don't Need This) Fascist Groove Thang,Heaven 17,Endless,1981,255.16,150.84,-10.76
38,(We Don't Need This) Fascist Groove Thang (Rapino Club Mix),Heaven 17,The Remix Collection,2009,354.19,135.57,-12.18
40,[Hidden Track],Galactic,Late for the Future,2000,89.68,121.26,-7.72
50,1000 Good Intentions,Rise Against,The Unraveling,2001,187.66,155.41,-5.79
53,1001 Robots,Marco Beltrami,I_ Robot,2004,256.39,79.86,-18.41
54,11th Street,Open Hand,The Dream,2000,278.57,156.58,-4.84
58,13 jours en France,Francis Lai,Le cinA(c)ma de Francis Lai,1996,243.43,97.85,-14.94
59,14 Botellas,2 Minutos,Valentin Alsina,1994,52.32,103.54,-14.09
61,15 Step,Radiohead,In Rainbows,2007,237.22,188.91,-7.06
68,19th Nervous Breakdown,Jason & The Scorchers,EMI Years,1998,227.50,176.27,-11.81
71,2 + 2 = 5,Radiohead,The Best Of,2003,198.48,149.49,-5.64
73,2 Glocks,Bone Thugs-N-Harmony,BTNHRESURRECTION,2000,266.06,187.96,-5.83
74,2 Late 4 Goodbyes,Jeff Scott Soto,Prism,2002,302.00,124.85,-4.80
75,2 Minutos,2 Minutos,Un Mundo De Sensaciones,2006,83.12,168.23,-1.67
77,2.000 Kilometros,David Summers,David Summers,1998,247.77,111.06,-16.10
78,20 horas de nada,Alex Ubago,Calle ilusion,2009,216.58,121.69,-7.91
79,20.000 Seconds,K's Choice,Cocoon Crash,1998,144.14,103.80,-15.28
81,21st Century Time Bomb,Opiate For The Masses,Manifesto,2008,233.12,80.01,-3.30
82,22 (Acoustic),Lily Allen,It's Not Me_ It's You (Special Edition),2009,187.25,132.61,-8.30
83,22 (Vingt Deux) (Feat. Ours),Lily Allen Featuring Ours,22 (Vingt Deux),2009,189.20,130.94,-4.71
84,22 Going On 23,Butthole Surfers,Locust Abortion Technician,1987,263.71,146.01,-10.98
91,2HB (1999 Digital Remaster),Bryan Ferry,Let's Stick Together,1976,194.61,149.44,-8.90
92,2StepN,North Mississippi Allstars,Barnyard (OST),2006,166.22,125.00,-8.24
93,3 + 3,Vangelis,3 Originals,1977,575.58,149.42,-17.06
94,3 Deuces,Marcus Miller,The Ozell Tapes,2001,382.95,100.14,-12.88
100,32 Lines (Album Version),Sophie B. Hawkins,Timbre,1999,302.86,129.32,-7.84
101,34 Blues,Charlie Patton,A Spoonful Blues  Vol 1,1934,173.32,100.80,-30.53
103,4 In The Morning,Gwen Stefani,4 In The Morning,2006,294.19,124.52,-6.81
105,4 Minutes [Featuring Justin Timberlake And Timbaland] [Junkie XL Remix Edit],Madonna,Hard Candy,2008,277.99,128.00,-3.63
107,4 Words (To Choke Upon),Bullet For My Valentine,The Poison,2005,223.76,185.01,-2.84
108,40 OZ Quartet Part I,Tha Liks,X.O. Experience,2001,108.28,160.27,-6.93
109,45 Pounds,Hey Colossus,Project: Death,2007,251.82,104.82,-9.71
110,4tx.31b,S.U.P,The Cube 1998,1993,274.55,154.01,-9.75
